DICTION              6     202206 Reports                         3000000600001 
            ===Note= The following series which usually contain   3000000600002 
            conference proceedings, are generally not considered  3000000600003 
            as reports. Therefore, such publications are usually  3000000600004 
            entered with a conference code (see dict. 7).         3000000600005 
                 CEA-CONF                                         3000000600006 
INDC(KOR)- Korean report to the I.N.D.C.                   3ZZZIAE3000000600761 
INDC(MOR)- Morocco report to the I.N.D.C.                  3ZZZIAE3000000600762 
INDC(NDS)- IAEA Nucl.Data Section report to the I.N.D.C.   3ZZZIAE3000000600763 
INDC(NDU)- IAEA Nucl.Data Section report to the I.N.D.C.   3ZZZIAE3000000600764X
INDC(NED)- Netherlands report to the I.N.D.C.              3ZZZIAE3000000600765 
INDC(NOR)- Norwegian report to the I.N.D.C.                3ZZZIAE3000000600766 
INDC(PAK)- Pakistan report to the I.N.D.C.                 3ZZZIAE3000000600767 
INDC(POL)- Polish report to the I.N.D.C.                   3ZZZIAE3000000600768 
INDC(ROM)- Romanian report to the I.N.D.C.                 3ZZZIAE3000000600769 
            Before 1981, the code INDC(RUM) was used.             3000000600770 
INDC(RUM)- Romanian report to the I.N.D.C.                 3ZZZIAE3000000600771X
INDC(SAF)- South-African report to the I.N.D.C.            3ZZZIAE3000000600772 
INDC(SEC)- I.N.D.C. Secretariat Report Series              3ZZZIAE3000000600773 
INDC(SLK)- Slovakian report to the I.N.D.C.                3ZZZIAE3000000600774 
INDC(SLN)- Slovenian report to the I.N.D.C.                3ZZZIAE3000000600775 
INDC(SPN)- Spanish report to the I.N.D.C.                  3ZZZIAE3000000600776 
INDC(SUD)- Sudanese report to the I.N.D.C.                 3ZZZIAE3000000600777 
INDC(SWD)- Swedish report to the I.N.D.C.                  3ZZZIAE3000000600778 
INDC(SWT)- Swiss report to the I.N.D.C.                    3ZZZIAE3000000600779 
INDC(TAI)- Thailand report to the I.N.D.C.                 3ZZZIAE3000000600780 
INDC(TUR)- Turkish report to the I.N.D.C.                  3ZZZIAE3000000600781 
            Note: Some copies of INDC(TUR)-3 are erroneously      3000000600782 
             labelled as INDC(TUK)-3                              3000000600783 
INDC(UK)-  U.K. report to the I.N.D.C.                     3ZZZIAE3000000600784 
INDC(UKR)- Ukrainian report to the I.N.D.C.                3ZZZIAE3000000600785 
INDC(US)-                                                  3ZZZIAE3000000600786O
            Use INDC(USA) although some issues have INDC(US)- on  3000000600787O
             their covers                                         3000000600788O
INDC(USA)- U.S. report to the I.N.D.C.                     3ZZZIAE3000000600789 
INDC(VN)-  Vietnam report to the I.N.D.C.                  3ZZZIAE3000000600790 
INDC(YUG)- Yugoslavian report to the I.N.D.C.              3ZZZIAE3000000600791 
INDC-      International Nucl. Data Committee report series3ZZZIAE3000000600792 
           =(usually accompanied by an additional code,           3000000600793 
           =e.g.,INDC(NDS))                                       3000000600794 
            Nr.1(1971)-15(1973) and Nr.156(1967)-274(1969)        3000000600795 
            Then continued in a number of subseries               3000000600796 
            Note: /G /L /U etc. are distribution-codes which      3000000600797 
             should be ignored.                                   3000000600798 
            'E' following the report number distinguishes an      3000000600799 
             English translation from its original.               3000000600800 
INDSWG-    Int. Nuclear Data Sci. Working Group Reports    3ZZZIAE3000000600801X
            Nr.1(1962)-155(1967),continued as INDC-.              3000000600802X
            'E' following the report no. distinguishes an         3000000600803X
            English translation from its original.                3000000600804X
INIS-MF-   INIS microfiche                                 3ZZZIAE3000000600805 
            Identification assigned by IAEA to documents received 3000000600806 
             without report code.                                 3000000600807 
INIS-SU-   INIS Reports                                    3ZZZIAE3000000600808 
            Identification assigned by Atom-Inform to documents   3000000600809 
             received without report code.                        3000000600810 
STI/DOC/10-I.A.E.A. Technical Document Series              3ZZZIAE3000000600811 
            ===Note: See also  IAEA-                              3000000600812 
STI/PUB-   I.A.E.A. Publications                           3ZZZIAE3000000600813 
STI/PUB/15-I.A.E.A. Review Series (1959-1962)              3ZZZIAE3000000600814 
STI/PUB/21-I.A.E.A. Bibliographical Series                 3ZZZIAE3000000600815 
EFI-       Erevanskij Fisicheskij Institut Reports         4ARMARM3000000600816 
IJE-       Inst. of Nucl. Energetics, Bjelorus. Acad. Sci. 4BLRIJE3000000600817 
             report and preprints                                 3000000600818 
             IJE-nnn-yy  (nnn=serial no., yy=year)                3000000600819 
TMO-       Inst.Teplo-Massoobmena Bjeloruss.Acad.Sci.Repts 4BLRTMO3000000600820 
             ===Note: This is an invented code. The reports have  3000000600821 
                only a 'preprint'-number without a code.          3000000600822 
             English translation of TMO-2 through TMO-7 is        3000000600823 
                available as report INDC(CCP)-142.                3000000600824 
IAN/E-     Izvestia Estonian Akad.Nauk, Reports            4ESTEST3000000600825 
IYFK-P-    Inst. Nucl.Phys., Alma-Ata, preprints           4KASKAZ3000000600826 
LAFI-      Inst. Fiziki Latvijskoi Akad. Sci., Riga Reports4LATIFL3000000600827 
ICD-       Bull. Centr po Jadernym Dannym, Obninsk         4RUSCJD3000000600828X
           =no.1 (1964) - no.6 (1969)                             3000000600829X
           =continued as YK-7                                     3000000600830X
YK-        Yadernye Konstanty                              4RUSCJD3000000600831X
            Full title = Vopr.At.Nauki i Tekhn.,Ser.Jad.Kon       3000000600832X
           =no.7 (1971) - no.27 (1977)                            3000000600833X
           =continues ICD-6                                       3000000600834X
           =continued as journal YK                               3000000600835X
EPA-       Exp.Physics Inst. Arzamas Reports               4RUSEPA3000000600836 
FEI-       Fiz.-Energ Institut, Obninsk Reports            4RUSFEI3000000600837 
YFI-       Yaderno-Fizicheskie Issledovaniya v SSSR        4RUSFEI3000000600838C
            Partly translated to English in INDC(CCP) reports as  3000000600839 
            "Nuclear Physics Research in the USSR"                3000000600840 
FTI-       Fiz-Tech. Inst. Ioffe, Leningrad Reports        4RUSFTI3000000600841 
ITE-       Inst. Teoret. i Experiment. Fiziki, Moscow Repts4RUSITE3000000600842O
            Use ITEF-                                             3000000600843O
ITEF-      Inst. Teoret. i Experiment. Fiziki, Moscow Repts4RUSITE3000000600844 
JIA-       Inst. Nucl. Res., Russian Acad. Sci. Preprint   4RUSJIA3000000600845 
IAE-       Inst. Atomnoy Energii, Kurchatov Reports        4RUSKUR3000000600846 
KUR-                                                       4RUSKUR3000000600847 
            Had been used for  IAE-                               3000000600848 
FIAN-      Fiz. Inst. Akad. Nauk Lebedev, Moscow Reports   4RUSLEB3000000600849 
BCDL-      Bull. Centro Dannykh LIJAF, Leningrad-Gatchina  4RUSLIN3000000600850 
            (Bulletin of the Data Centre of LIJAF)                3000000600851 
LIJAF-     Leningrad Inst. Nucl. Phys. Reports             4RUSLIN3000000600852 
MIF-       Moscow Inst. of Engineering Physics Reports     4RUSMIF3000000600853 
            MIF-nnn-yy (nnn=serial no.,yy=year)                   3000000600854 
CDFE-      Fotoyadernye Dannye (Photonuclear Data)         4RUSMOS3000000600855 
            To be used for annual series starting with no.1,1977  3000000600856 
            (Compare CDFE-IND- and book codes CDFE/..)            3000000600857 
CDFE-IND-  Fotoyadernye Dannye (Photonuclear Data) Index   4RUSMOS3000000600858 
            Compare CDFE- and book codes                          3000000600859 
CDFE-IND2- Photonuclear Data Index (Photofission)          4RUSMOS3000000600860 
            Fotojadernye Dannye. Compare CDFE-and book codes      3000000600861 
MSU-INP-   Moscow State Univ.Inst.of Nucl.Phys.Reports     4RUSMOS3000000600862 
NIIAR-     Inst. Atomnykh Reaktorov, Melekess Reports      4RUSNIR3000000600863 
NIIAR-P1-  Inst. Atomnykh Reaktorov, Melekess Reports      4RUSNIR3000000600864 
RI-        Khlopin Radiev. Inst., Leningrad Reports        4RUSRI 3000000600865 
IFVE-      Inst. Fiz. Vysokikh Energij, Serpukhov Reports  4RUSRUS3000000600866 
ISTC-      Internat.Science and Technology Center, Reports 4RUSRUS3000000600867 
SIB-       Inst. Jad. Fiz., Novosibirsk Reports            4RUSSIB3000000600868 
           =(This is an invented code. The reports                3000000600869 
           =have only a 'preprint'-number without a code)         3000000600870 
IF-        Akad. Nauk Ukrainskaja, Kiev                    4UKRIFU3000000600871 
IJAI-      Inst. Yad. Issledovanii Communications,Kiev     4UKRIJI3000000600872 
IJAI-P-    Inst. Yad. Issledovanii, Kiev Reports           4UKRIJI3000000600873 
KIYAI-     Inst. Yad. Issledovanii, Kiev Reports           4UKRIJI3000000600874 
KHFTI-     Ukrainsk. Fiz. Tekhn. Inst. Reports             4UKRUFT3000000600875 
            Until 1968 no report code was printed on the cover    3000000600876 
             but only a number.                                   3000000600877 
            Starting 1969 the report codes have the form          3000000600878 
             KHFTI-69-1 which is coded KHFTI-69/1                 3000000600879 
UFT-       Ukrainskij Fiz. Tech. Inst. Reports             4UKRUFT3000000600880O
            Had been used for old KHFTI- report which had no      3000000600881O
             report code on the cover                             3000000600882O
UZB-P-     Inst.of Nucl.Phys., Tashkent, Uzbekistan, Repts 4UZ UZB3000000600883 
DUB-       Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600884O
            Use JINR-                                             3000000600885O
DUB-E-     Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600886O
            Use JINR-E-                                           3000000600887O
DUB-P-     Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600888O
            Use JINR-P-                                           3000000600889O
ISINN-     Int.Sem.on Interactions of Neutrons with Nuclei 4ZZZDUB3000000600890 
            Proceedings of annual meeting held in Dubna           3000000600891 
JINR-      Joint Inst. for Nucl. Res., Dubna, reports      4ZZZDUB3000000600892 
            Note: the 4-digits report number is unique, the       3000000600893 
             symbols between JINR and number can be omitted.      3000000600894 
             They mean P=Russian, E=English, D=Engl+Russian.      3000000600895 
             The digit following this character denotes the       3000000600896 
             subject category, e.g.                               3000000600897 
               3 = low-energy experimental physics                3000000600898 
               4 = low-energy theoretical physics                 3000000600899 
              15 = exp'tl phys.of nucl.reactions at low en.       3000000600900 
JINR-D-    Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600901 
JINR-D15-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600902 
JINR-D3-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600903 
JINR-D6-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600904 
JINR-D7-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600905 
JINR-E-    Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600906 
JINR-E1-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600907 
JINR-E15-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600908 
JINR-E3-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600909 
JINR-E4-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600910 
JINR-E7-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600911 
JINR-P-    Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600912 
JINR-P1-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600913 
JINR-P10-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600914 
JINR-P11-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600915 
JINR-P12-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600916 
JINR-P13-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600917 
JINR-P14-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600918 
JINR-P15-  Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600919 
JINR-P2-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600920 
JINR-P3-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600921 
JINR-P4-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600922 
JINR-P6-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600923 
JINR-P7-   Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600924 
P3-        Joint Inst. for Nucl. Res., Dubna Reports       4ZZZDUB3000000600925O
            *** Use JINR-P3- or JINR-.                            3000000600926O
            Similarly, use JINR-Codes for P15-, E3-,  etc.        3000000600927O
