DICTION             27     201304 Nuclides                        3000002700001 
29-CU-60   (  3      T   )                                        3000002700398 
29-CU-61   (  3      T   )                                        3000002700399 
29-CU-62   (1 3      C   )                                        3000002700400 
29-CU-63   (1234     CS  )                                        3000002700401 
29-CU-64   (1 34     C   )                                        3000002700402 
29-CU-65   (1 3      CS  )                                        3000002700403 
29-CU-66   (1 34     C   )                                        3000002700404 
29-CU-67   (1 3      C   )                                        3000002700405 
29-CU-68   (1 3         1)                                        3000002700406 
29-CU-69   (  3          )                                        3000002700407 
29-CU-70   (1 3         1)                                        3000002700408 
           2 isomers exist, not known which one is ground state   3000002700409 
29-CU-71   (1234         )                                        3000002700410 
29-CU-72   (  3          )                                        3000002700411 
29-CU-73   (  3          )                                        3000002700412 
29-CU-74   (  3          )                                        3000002700413 
29-CU-75   (  3          )                                        3000002700414 
29-CU-76   (  3          )                                        3000002700415 
30-ZN-0    (1        CS  )                                        3000002700416 
30-ZN-59   (  3          )                                        3000002700417 
30-ZN-60   (1 3      C   )                                        3000002700418 
30-ZN-61   (  3      T   )                                        3000002700419 
30-ZN-62   (  3      T   )                                        3000002700420 
30-ZN-63   (1 3      C   )                                        3000002700421 
30-ZN-64   (1 34     CS  )                                        3000002700422 
30-ZN-65   (1 34     C   )                                        3000002700423 
30-ZN-66   (1 3      CS  )                                        3000002700424 
30-ZN-67   (1 34     CS  )                                        3000002700425 
30-ZN-68   (1 34     CS  )                                        3000002700426 
30-ZN-69   (  34     T  1)                                        3000002700427 
30-ZN-70   (1 3      CS  )                                        3000002700428 
30-ZN-71   (  34     T  1)                                        3000002700429 
30-ZN-72   (1 3      C   )                                        3000002700430 
30-ZN-73   (  3         1)                                        3000002700431 
30-ZN-75   (  3          )                                        3000002700432 
30-ZN-76   (  3          )                                        3000002700433 
30-ZN-77   (  3          )                                        3000002700434 
30-ZN-78   (  3          )                                        3000002700435 
30-ZN-79   (  3          )                                        3000002700436 
31-GA-0    (1        CS  )                                        3000002700437 
31-GA-63   (  3      T   )                                        3000002700438 
31-GA-64   (  3      T   )                                        3000002700439 
31-GA-65   (  3      T   )                                        3000002700440 
31-GA-66   (  3      T   )                                        3000002700441 
31-GA-67   (  3      T   )                                        3000002700442 
31-GA-68   (1 3      C   )                                        3000002700443 
31-GA-69   (1 3      CS  )                                        3000002700444 
31-GA-70   (1 34     C   )                                        3000002700445 
31-GA-71   (1 3      CS  )                                        3000002700446 
31-GA-72   (1 34     C  A)                                        3000002700447 
31-GA-73   (  3      T   )                                        3000002700448 
31-GA-74   (  3         1)                                        3000002700449 
31-GA-75   (  3          )                                        3000002700450 
31-GA-76   (  3          )                                        3000002700451 
31-GA-77   (  3          )                                        3000002700452 
31-GA-78   (  3          )                                        3000002700453 
